PRICE,ADDRESS,LATITUDE,LONGITUDE,CARSPACE
$480,"6/6-10 Railway Parade, Westmead",-33.8085747,150.989716,1
$470,"3/9 Helen Street, Westmead",-33.8048439,150.992722,1
$440,"2/3 Queens Rd, Westmead",-33.80718,150.992172,1
$420,"2/5 Railway Parade, Westmead",-33.8086929,150.989975,1
$430,"4/1 Belgian Street, Westmead",-33.8148232,150.9927,1
$500,"13 Bailey Street, Westmead",-33.8098259,150.9892,1
$480,"4/34-38 Hassall Street, Westmead",-33.8105774,150.988708,1
$480,"6/2-8 Bailey Street, Westmead",-33.81048,150.990036,1
$470,"164 Great Western Highway, Westmead",-33.81909,150.987534,1
$460,"6/4 Railway Parade, Westmead",-33.8088531,150.990067,1
