,Train_Station,Street_Name,Street_Type,Entrance_Type,LAT,LONG,Exit_Number
1,Aberdeen,Macqueen,St,Ramp,-32.16688641,150.8919573,
5,Adamstown,Park,Ave,Path,-32.93382729,151.7202364,
9,Albion Park,Princes,Hwy,Ramp,-34.56278202,150.7984185,
14,Allawah,Railway,Pde,Ramp,-33.96988689,151.1142405,
16,Arlington LR,Constitution,Rd,Path,-33.902049700000006,151.13804340000002,
20,Arncliffe,Firth,St,Stairs,-33.93671781,151.1468509,
23,Artarmon,Hampden,Rd,Stairs,-33.80854065,151.1844285,
27,Ashfield,Brown ,St,Stairs,-33.887775,151.1255397,
29,Asquith,Pacific,Hwy,Ramp,-33.68848916,151.1079991,
32,Auburn,South,Pde,Ramp,-33.84946375,151.03272090000002,
34,Austinmer,Railway,Ave,Path,-34.30650136,150.9289071,
37,Awaba,Wilton,Rd,Ramp,-33.01310914,151.5420747,
40,Banksia,Railway,St,Stairs,-33.94488347,151.14044819999998,
43,Bankstown,Bankstown City,Plza,Path,-33.91778824,151.0337625,
44,Bardwell Park,Hartill Law,Ave,Stairs,-33.93137824,151.125379,
48,Bargo,Railside,Ave,Path,-34.29104476,150.58000769999998,
51,Beecroft,Wongala,Cres,Path,-33.74923381,151.0662247,
53,Bell,Chiefley,Rd,Stairs,-33.50623435,150.2790794,
54,Bellambi,Bellambi,Lane,Ramp,-34.36261281,150.9101311,
56,Belmore,Burwood,Rd,Stairs,-33.91722736,151.0883244,
58,Berala,Woodburn,Rd,Path,-33.87139384,151.0323272,
61,Beresfield,Addison,St,Lift,-32.79947121,151.6581617,
63,Berowra,Pacific,Hwy,Ramp,-33.62300205,151.1531421,
64,Berry,Station,Rd,Path,-34.78027342,150.69672350000002,
67,Beverly Hills,King Georges,Rd,Stairs,-33.94926254,151.0804784,
68,Bexley North,Bexley,Rd,Stairs,-33.9374812,151.1139261,
69,Birrong,Avalon,St,Stairs,-33.89253644,151.0243134,
71,Blackheath,Station,St,Stairs,-33.63400546,150.2842535,
80,Blacktown,Old Richmond,Rd,Stairs,-33.76779802,150.9069245,4.0
85,Blaxland,Great Western,Hwy,Stairs,-33.74404944,150.6093287,
86,Bomaderry,Meroo,St,Path,-34.85374494,150.60977019999999,
88,Bombo,Princes,Hwy,Ramp,-34.65885576,150.8537564,
91,Bondi Junction,Grafton,St,Stairs,-33.89099409,151.2482086,
93,Booragul,Station,St,Ramp,-32.97190014,151.60479080000002,
99,Bowral,Kirkham ,Rd,Stairs,-34.47822202,150.41637930000002,
101,Branxton,Railway,St,Ramp,-32.66209242,151.3455358,
105,Broadmeadow,Brown,Rd,Stairs,-32.92236891,151.7349462,
107,Bullaburra,Railway,Pde,Stairs,-33.72316759,150.41498909999999,
111,Bulli,Railway,St,Path,-34.33433961,150.9146887,
113,Bundanoon,Church,St,Path,-34.65604988,150.29957280000002,
115,Burradoo,Burradoo,Rd,Ramp,-34.49418573,150.3978582,
117,Burwood,Burwood,Rd,Path,-33.87718853,151.1038248,
122,Cabramatta,Railway,Pde,Path,-33.89510227,150.9386596,
123,Camellia,Grand,Ave,Ramp,-33.81918103,151.024141,
130,Campbelltown,Farrow,Rd,Stairs,-34.06332332,150.8140219,
132,Campsie,Beamish,St,Ramp,-33.91039285,151.10355769999998,
136,Canley Vale,Railway,Pde,Ramp,-33.88734662,150.94341980000002,
137,Canterbury,Canterbury,Rd,Path,-33.912116299999994,151.11901369999998,
139,Capitol Square LR,Hay,St,Path,-33.87980415,151.205512,
142,Cardiff,Mary,St,Lift,-32.94140925,151.6622554,
144,Caringbah,Kingsway,,Stairs,-34.04157881,151.121856,
149,Carlingford,Pennant Hills,Rd,Path,-33.78304357,151.04635109999998,
154,Carlton,Carlton,Pde,Ramp,-33.96798067,151.1241795,
156,Carramar,Carramar,Ave,Path,-33.88431636,150.9605645,
161,Casula,Casula,Rd,Stairs,-33.95032929999999,150.9116866,
176,Central,Lee,St,Path,-33.88398512,151.20426630000003,7.0
190,Chatswood,Railway,St,Stairs,-33.79701563,151.1805215,
192,Cheltenham,Cheltenham,Rd,Lift,-33.75543909,151.0781092,
193,Chester Hil,Chester Hill,Rd,Path,-33.88368818,151.00046269999999,
203,Circular Quay,Alfred,St,Escalators,-33.86139905,151.2103289,
206,Clarendon,Racecource,Rd,Ramp,-33.60859421,150.7877637,
208,Clyde,Factory,St,Ramp,-33.83606198,151.0165639,2.0
209,Coalcliff,Lawrence Hargrave ,Dr,Stairs,-34.24253571,150.97705200000001,
211,Cockle Creek,Creek Reserve,Rd,Path,-32.94287548,151.62381259999998,
212,Coledale,Cater,St,Stairs,-34.28989285,150.94303100000002,
215,Como,Como,Pde,Ramp,-34.00447157,151.0676891,
220,Concord West,King,St,Stairs,-33.84795404,151.08519040000002,
222,Coniston,Gladsone,Ave,Ramp,-34.43796566,150.88484499999998,
223,Convention Centre LR,Darling,Dr,Ramp,-33.87286403,151.1981517,
225,Corrimal,Railway,St,Path,-34.37567312,150.9048905,
227,Cowan,Pacific,Hwy,Ramp,-33.5937893,151.17156509999998,
229,Cringila,Five Island,Rd,Stairs,-34.46737362,150.87827230000002,
232,Cronulla,Cronulla,St,Path,-34.05535773,151.15143480000003,
234,Croydon,Paisley,Rd,Stairs,-33.8831857,151.1150828,
238,Dapto,Bong Bong,Rd,Path,-34.493435,150.7913065,
239,Denistone,Gordon,Cres,Path,-33.79951928,151.08675390000002,
244,Domestic,Keith Smith,Ave,Lift,-33.93398698,151.18004960000002,
246,Doonside,Cross,St,Ramp,-33.76362795,150.8692347,
249,Dora Creek,Newport,Rd,Stairs,-33.08402158,151.500698,
251,Douglas Park,Camden,Rd,Path,-34.18330344,150.7105388,
253,Dulwich Grove LR,New Canterbury,Rd,Lift,-33.9047721,151.1389753,
255,Dulwich Hill LR,Bedford,Cres,Lift,-33.9106266,151.14055580000002,
259,Dundas,Kissing Point,Rd,Path,-33.80339752,151.032467,
261,Dungog,Brown,St,Stairs,-32.40249309,151.759251,
265,East Hills,Park,Rd,Ramp,-33.96173087,150.98425519999998,
266,East Maitland,Melbourne,St,Stairs,-32.74457268,151.58747409999998,
268,East Richmond,Bourke,St,Stairs,-33.6017457,150.7587291,
273,Eastwood,West,Pde,Path,-33.79014802,151.0819726,
274,Edgecliff,New South Head,Rd,Path,-33.87893677,151.236154,
276,Edmondson Park,Soliders,Pde,Stairs,-33.96936246,150.8588449,
280,Emu Plains,Mackellar,St,Lift,-33.74565742,150.67128359999998,
284,Engadine,Princes,Hwy,Lift,-34.06738183,151.01455159999998,
289,Epping,Beecroft,Rd,Lift,-33.77272037,151.0815679,
290,Ersineville,Erskineville,Rd,Path,-33.90005302,151.1855565,
292,Exeter,Bundanoon,Rd,Path,-34.61337723,150.3173592,
